UserID,国・地域名,英語表記,ISO3,所属,色塗分け
4,アフガニスタン,Afghanistan,AFG,,8
8,アルバニア,Albania,ALB,,2
10,南極,,ATA,,9
12,アルジェリア,Algeria,DZA,,2
20,アンドラ,Andorra,AND,,8
24,アンゴラ,Angola,AGO,,7
28,アンティグア・バーブーダ,Antigua and Barbuda,ATG,,2
31,アゼルバイジャン,Azerbaijan,AZE,,7
32,アルゼンチン,Argentina,ARG,,2
36,オーストラリア,Australia,AUS,,1
40,オーストリア,Austria,AUT,,1
44,バハマ,Bahamas,BHS,,1
48,バーレーン,Bahrain,BHR,,6
50,バングラデシュ,Bangladesh,BGD,,6
51,アルメニア,Armenia,ARM,,3
52,バルバドス,Barbados,BRB,,6
56,ベルギー,Belgium,BEL,,8
60,バミューダ諸島,Bermuda Islands,BMU,イギリス,3
64,ブータン,Bhutan,BTN,,7
68,ボリビア,Bolivia,BOL,,6
70,ボスニア・ヘルツェゴビナ,Bosnia and Herzegovina,BIH,,1
72,ボツワナ,Botswana,BWA,,2
76,ブラジル,Brazil,BRA,,3
84,ベリーズ,Belize,BLZ,,1
90,ソロモン諸島,Solomon Islands,SLB,,6
92,イギリス領バージン諸島,British Virgin Islands,VGB,イギリス,3
96,ブルネイ・ダルサラーム,Brunei Darussalam,BRN,,1
100,ブルガリア,Bulgaria,BGR,,2
104,ミャンマー,Myanmar,MMR,,7
108,ブルンジ,Burundi,BDI,,2
112,ベラルーシ,Belarus,BLR,,3
116,カンボジア,Cambodia,KHM,,1
120,カメルーン,Cameroon,CMR,,4
124,カナダ,Canada,CAN,,5
132,カーボベルデ,Cape Verde,CPV,,6
136,ケイマン諸島,Cayman Islands,CYM,イギリス,3
140,中央アフリカ,Central Africa,CAF,,6
144,スリランカ,Sri Lanka,LKA,,1
148,チャド,Chad,TCD,,7
152,チリ,Chile,CHL,,4
156,中華人民共和国,Peoples Republic of China,CHN,,4
170,コロンビア,Colombia,COL,,8
174,コモロ,Comoros,COM,,6
178,コンゴ共和国,Congo,COG,,2
180,コンゴ民主共和国,Democratic Republic of the Congo,COD,,3
184,クック諸島,Cook Islands,COK,,2
188,コスタリカ,Costa Rica,CRI,,7
191,クロアチア,Croatia,HRV,,4
192,キューバ,Cuba,CUB,,2
196,キプロス,Cyprus,CYP,,7
203,チェコ,Czech,CZE,,7
204,ベナン,Benin,BEN,,7
208,デンマーク,Denmark,DNK,,2
212,ドミニカ国,Commonwealth of Dominica,DMA,,3
214,ドミニカ共和国,Dominican Republic,DOM,,6
218,エクアドル,Ecuador,ECU,,7
222,エルサルバドル,El Salvador,SLV,,2
226,赤道ギニア,Equatorial Guinea,GNQ,,8
231,エチオピア,Ethiopia,ETH,,2
232,エリトリア,Eritrea,ERI,,4
233,エストニア,Estonia,EST,,2
242,フィジー,Fiji,FJI,,6
246,フィンランド,Finland,FIN,,6
250,フランス,France,FRA,,6
254,フランス領ギアナ,French Guiana,GUF,フランス,6
258,フランス領ポリネシア,French Polynesia,PYF,フランス,6
262,ジブチ,Djibouti,DJI,,1
266,ガボン,Gabon,GAB,,5
268,ジョージア,Georgia,GEO,,1
270,ガンビア,Gambia,GMB,,7
276,ドイツ,Germany,DEU,,5
288,ガーナ,Ghana,GHA,,2
296,キリバス,Kiribati,KIR,,6
300,ギリシャ,Greece,GRC,,3
304,グリーンランド,Greenland,GRL,デンマーク,2
308,グレナダ,Grenada,GRD,,6
320,グアテマラ,Guatemala,GTM,,7
324,ギニア,Guinea,GIN,,3
328,ガイアナ,Guyana,GUY,,5
332,ハイチ,Haiti,HTI,,7
336,バチカン,Vatican,VAT,,2
340,ホンジュラス,Honduras,HND,,3
344,香港,Hong Kong,HKG,中華人民共和国,4
